modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
BUS-BRA,DenseNet121,Grad-CAM,327,1,0.7691550254821777,0.6911476850509644,0.24145707134157418,-0.4496906137093902,-0.19447624683380127,0,0.21439894074018284
BUS-BRA,DenseNet121,Integrated Gradients,327,1,0.7691550254821777,0.9145020067691803,0.8126934349536897,-0.10180857181549052,-0.16361254453659058,0,0.08210304457401382
BUS-BRA,DenseNet121,SHAP,327,1,0.7691550254821777,0.8384504914283752,0.8948397010564805,0.05638920962810523,-0.024166345596313477,0,0.23807374986894972
BUS-BRA,DenseNet121,Score-CAM,327,1,0.7691550254821777,0.6952443018555641,0.3371836243197322,-0.3580606775358319,-0.17229437828063965,0,0.19762434225323838
BUS-BRA,DenseNet121,Grad-CAM,33,0,0.9392080307006836,0.3865439146757126,0.9278923168778418,0.5413484022021292,0.26905345916748047,1,0.07085722818142551
BUS-BRA,DenseNet121,Integrated Gradients,33,0,0.9392080307006836,0.530814628303051,0.7445034012198448,0.21368877291679378,0.012647509574890137,1,0.05933726271858108
BUS-BRA,DenseNet121,SHAP,33,0,0.9392080307006836,0.5664647057652474,0.6759125053882599,0.10944779962301243,-0.035986900329589844,0,0.04355959031827929
BUS-BRA,DenseNet121,Score-CAM,33,0,0.9392080307006836,0.3473489910364151,0.8580351084470748,0.5106861174106596,0.05177575349807739,1,
BUS-BRA,DenseNet121,Grad-CAM,15,1,0.6135042309761047,0.3526408219709992,0.49324103007093073,0.1406002080999315,0.529922790825367,1,0.16663830479262454
BUS-BRA,DenseNet121,Integrated Gradients,15,1,0.6135042309761047,0.7841629385948181,0.632327539473772,-0.15183539912104616,0.05675983428955078,1,0.2544023491290057
BUS-BRA,DenseNet121,SHAP,15,1,0.6135042309761047,0.8061715766787528,0.6072969622910023,-0.19887461438775056,-0.157029926776886,0,0.1832031685589908
BUS-BRA,DenseNet121,Score-CAM,15,1,0.6135042309761047,0.654227152466774,0.40567533262073996,-0.24855181984603403,-0.16854912042617798,0,0.28773229933686023
BUS-BRA,DenseNet121,Grad-CAM,314,1,0.7773025631904602,0.4866672318428754,0.5381643608212472,0.051497128978371776,-0.05384492874145508,0,0.2098394273741782
BUS-BRA,DenseNet121,Integrated Gradients,314,1,0.7773025631904602,0.9200946271419523,0.9076755136251451,-0.012419113516807245,-0.18751150369644165,0,0.18570291090675084
BUS-BRA,DenseNet121,SHAP,314,1,0.7773025631904602,0.9356720685958863,0.9489055305719376,0.013233461976051353,-0.17575889825820923,0,0.35621658583684057
BUS-BRA,DenseNet121,Score-CAM,314,1,0.7773025631904602,0.5804548144340516,0.30618634521961213,-0.2742684692144394,-0.02741682529449463,0,0.26514407697045655
BUS-BRA,DenseNet121,Grad-CAM,57,0,0.8210710883140564,0.7600247874855997,0.7453052878379822,-0.014719499647617429,0.10858374834060669,1,0.04259608043264383
BUS-BRA,DenseNet121,Integrated Gradients,57,0,0.8210710883140564,0.3869264170527459,0.3974116384983063,0.010485221445560411,0.34839218854904175,1,0.02372598359220671
