modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
BUS-BRA,MobileNetV2,Grad-CAM,327,1,0.7851277589797974,0.5273328602313996,0.3562782818917185,-0.17105457833968107,0.5649083107709885,1,0.13824320940747112
BUS-BRA,MobileNetV2,Integrated Gradients,327,1,0.7851277589797974,0.49507459253072744,0.8682541638612747,0.3731795713305473,0.238386332988739,1,0.09227709892175
BUS-BRA,MobileNetV2,SHAP,327,1,0.7851277589797974,0.6728348538279533,0.7161173313856125,0.04328247755765924,-0.1693958044052124,0,0.25262238182274827
BUS-BRA,MobileNetV2,Score-CAM,327,1,0.7851277589797974,0.36222393140196796,0.29170437245047653,-0.07051955895149142,0.331096351146698,1,0.10265097111721022
BUS-BRA,MobileNetV2,Grad-CAM,33,0,0.9378489851951599,0.803467869758606,0.9429895699024201,0.13952170014381415,0.18450576066970825,1,0.05762416021723248
BUS-BRA,MobileNetV2,Integrated Gradients,33,0,0.9378489851951599,0.5808513432741165,0.3789706602692604,-0.20188068300485607,0.036886394023895264,1,0.03085213139805548
BUS-BRA,MobileNetV2,SHAP,33,0,0.9378489851951599,0.5963018417358399,0.42364192605018614,-0.17265991568565375,0.17376083135604858,1,0.024374572066199456
BUS-BRA,MobileNetV2,Score-CAM,33,0,0.9378489851951599,0.7996041879057882,0.9624132931232452,0.16280910521745695,0.26959627866744995,1,0.0
BUS-BRA,MobileNetV2,Grad-CAM,15,0,0.995269238948822,0.7861766844987871,0.939386311173439,0.15320962667465188,0.042763590812683105,1,0.31814049226201935
BUS-BRA,MobileNetV2,Integrated Gradients,15,0,0.995269238948822,0.21713605523109433,0.8794292122125624,0.6622931569814681,0.9649103879928589,1,0.28919837370428264
BUS-BRA,MobileNetV2,SHAP,15,0,0.995269238948822,0.2150292888283729,0.488923954963684,0.2738946661353111,0.9341689348220825,1,0.17426161063943513
BUS-BRA,MobileNetV2,Score-CAM,15,0,0.995269238948822,0.8405258297920227,0.8319062650203705,-0.008619564771652266,0.0022280216217041016,1,0.0016579325192904815
BUS-BRA,MobileNetV2,Grad-CAM,314,1,0.6082980632781982,0.38654634077101946,0.44890666753053665,0.06236032675951719,0.006009578704833984,1,0.25830681367231223
BUS-BRA,MobileNetV2,Integrated Gradients,314,1,0.6082980632781982,0.5052964419126511,0.4102340310811996,-0.0950624108314515,0.16064941883087158,1,0.15602628222480763
BUS-BRA,MobileNetV2,SHAP,314,1,0.6082980632781982,0.43026981353759763,0.47914569973945625,0.04887588620185862,0.23255130648612976,1,0.33205123838781586
BUS-BRA,MobileNetV2,Score-CAM,314,1,0.6082980632781982,0.2888606058899313,0.1769671190297231,-0.1118934868602082,0.5970843052491546,1,0.17646942360861073
BUS-BRA,MobileNetV2,Grad-CAM,57,0,0.9870737195014954,0.9513012617826462,0.9208248913288115,-0.030476370453834667,0.023788928985595703,1,0.03831058699728229
BUS-BRA,MobileNetV2,Integrated Gradients,57,0,0.9870737195014954,0.5810438111424445,0.548304808139801,-0.03273900300264354,0.08193981647491455,1,0.023353983013923888
BUS-BRA,MobileNetV2,SHAP,57,0,0.9870737195014954,0.5495928585529328,0.591682168841362,0.042089310288429216,0.15653342008590698,1,0.027806618846232787
BUS-BRA,MobileNetV2,Score-CAM,57,0,0.9870737195014954,0.667134577035904,0.9481661438941956,0.28103156685829167,0.9057440161705017,1,0.003831710098740054
BUS-BRA,MobileNetV2,Grad-CAM,239,0,0.9735354781150818,0.8115629404783249,0.9144377022981642,0.10287476181983934,-0.007418572902679443,0,0.05805154996826792
BUS-BRA,MobileNetV2,Integrated Gradients,239,0,0.9735354781150818,0.4822150528430938,0.49768531918525694,0.015470266342163141,0.4477947950363159,1,0.038827084172857365
BUS-BRA,MobileNetV2,SHAP,239,0,0.9735354781150818,0.5188808023929595,0.4618303388357163,-0.05705046355724325,0.46577221155166626,1,0.03615683353303006
BUS-BRA,MobileNetV2,Score-CAM,239,0,0.9735354781150818,0.8338060438632965,0.8190427869558334,-0.014763256907463052,-0.02344381809234619,0,0.019158519832656675
BUS-BRA,MobileNetV2,Grad-CAM,76,0,0.8208618760108948,0.6823838129639626,0.8481265097856521,0.16574269682168952,-0.13560670614242554,0,0.21150457508912876
BUS-BRA,MobileNetV2,Integrated Gradients,76,0,0.8208618760108948,0.31480043679475783,0.44953737705945973,0.1347369402647019,0.7872230410575867,1,0.1997153903559827
BUS-BRA,MobileNetV2,SHAP,76,0,0.8208618760108948,0.15509891510009763,0.6698993757367135,0.5148004606366159,0.8141644597053528,1,0.37533140716894897
BUS-BRA,MobileNetV2,Score-CAM,76,0,0.8208618760108948,0.7810025379061698,0.6984207868576049,-0.08258175104856491,0.422779381275177,1,0.07628949640728007
BUS-BRA,MobileNetV2,Grad-CAM,119,0,0.999546468257904,0.8358177945017815,0.961361649632454,0.12554385513067245,0.06455719470977783,1,0.2202130145176712
BUS-BRA,MobileNetV2,Integrated Gradients,119,0,0.999546468257904,0.1894227653741836,0.5896841555833816,0.40026139020919804,0.9753563404083252,1,0.1103511423080154
BUS-BRA,MobileNetV2,SHAP,119,0,0.999546468257904,0.24435160160064692,0.2992970570921898,0.054945455491542866,0.8713560700416565,1,0.28458052257734207
BUS-BRA,MobileNetV2,Score-CAM,119,0,0.999546468257904,0.8219739377498626,0.9647696048021317,0.1427956670522691,0.05395025014877319,1,0.058899799635244054
BUS-BRA,MobileNetV2,Grad-CAM,305,1,0.8904345035552979,0.20417844774201513,0.41253114177379757,0.20835269403178244,0.7785078138113022,1,0.01580702914007587
BUS-BRA,MobileNetV2,Integrated Gradients,305,1,0.8904345035552979,0.6427069902420045,0.6611707240343094,0.018463733792304926,0.2599591612815857,1,0.01448183442000136
BUS-BRA,MobileNetV2,SHAP,305,1,0.8904345035552979,0.634457904100418,0.6729529082775116,0.03849500417709362,0.17942476272583008,1,0.008885288025502595
BUS-BRA,MobileNetV2,Score-CAM,305,1,0.8904345035552979,0.25992792155593636,0.3628136891347822,0.10288576757884582,0.8550723195075989,1,0.020037837410169276
BUS-BRA,MobileNetV2,Grad-CAM,126,1,0.8038314580917358,0.17599324635230004,0.32078891692217437,0.14479567056987433,0.7893167780712247,1,0.19515056363271355
BUS-BRA,MobileNetV2,Integrated Gradients,126,1,0.8038314580917358,0.7298162132501602,0.7966654866933822,0.066849273443222,0.045136094093322754,1,0.15023285868319133
BUS-BRA,MobileNetV2,SHAP,126,1,0.8038314580917358,0.6685482114553452,0.8499791175127029,0.1814309060573578,-0.08308130502700806,0,0.17681181910610191
BUS-BRA,MobileNetV2,Score-CAM,126,1,0.8038314580917358,0.1852343334350735,0.3611661633607582,0.17593182992568468,0.7915902296081185,1,0.2350997394278331
BUS-BRA,MobileNetV2,Grad-CAM,233,0,0.7880405783653259,0.8847001791000366,0.7999930560588837,-0.08470712304115291,-0.20354264974594116,0,0.0254248045242303
BUS-BRA,MobileNetV2,Integrated Gradients,233,0,0.7880405783653259,0.28876996636390684,0.257768602669239,-0.031001363694667827,0.40689533948898315,1,0.016984919168684685
BUS-BRA,MobileNetV2,SHAP,233,0,0.7880405783653259,0.343620677292347,0.30183913558721537,-0.04178154170513165,0.14474165439605713,1,0.01327898126981152
BUS-BRA,MobileNetV2,Score-CAM,233,0,0.7880405783653259,0.9249245762825012,0.7925270169973374,-0.13239755928516383,-0.17099398374557495,0,0.0
BUS-BRA,MobileNetV2,Grad-CAM,39,0,0.5462890267372131,0.7497463345527648,0.894993394613266,0.14524706006050114,-0.13095515966415405,0,0.13154860615708774
BUS-BRA,MobileNetV2,Integrated Gradients,39,0,0.5462890267372131,0.4525989487767219,0.22476823627948755,-0.22783071249723436,0.003079235553741455,1,0.0699728869347003
BUS-BRA,MobileNetV2,SHAP,39,0,0.5462890267372131,0.3543820112943649,0.3477121412754059,-0.006669870018959023,0.10430264472961426,1,0.10937395906463107
BUS-BRA,MobileNetV2,Score-CAM,39,0,0.5462890267372131,0.7576646029949188,0.792870682477951,0.03520607948303223,-0.395316481590271,0,
BUS-BRA,MobileNetV2,Grad-CAM,153,1,0.9375125169754028,0.14252627357491288,0.43816736572189247,0.2956410921469796,0.8946328014135361,1,0.23454014549386773
BUS-BRA,MobileNetV2,Integrated Gradients,153,1,0.9375125169754028,0.7221373721957207,0.8904297053813934,0.16829233318567272,0.30645447969436646,1,0.1869917026368925
