modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
BUS-BRA,ResNet50,Grad-CAM,327,1,0.9999547004699707,0.15632792575579513,0.7137846816331146,0.5574567558773195,0.9903682740405202,1,0.25805702653461093
BUS-BRA,ResNet50,Integrated Gradients,327,1,0.9999547004699707,0.9996101707220076,0.9996416360139846,3.1465291976950915e-05,-4.5299530029296875e-05,0,0.1303466838244443
BUS-BRA,ResNet50,SHAP,327,1,0.9999547004699707,0.999607026576996,0.9996787458658218,7.171928882587775e-05,-3.254413604736328e-05,0,0.273876916180072
BUS-BRA,ResNet50,Score-CAM,327,1,0.9999547004699707,0.6567811686545612,0.771283152975957,0.1145019843213958,0.9034043028950691,1,0.22276724865747316
BUS-BRA,ResNet50,Grad-CAM,33,0,0.9996999502182007,0.37024799436330796,0.9272571548819541,0.5570091605186462,-0.00028908252716064453,0,0.0533928091238431
BUS-BRA,ResNet50,Integrated Gradients,33,0,0.9996999502182007,0.2778052166104317,0.6290223434567451,0.3512171268463134,0.023329734802246094,1,0.05974929071071608
BUS-BRA,ResNet50,SHAP,33,0,0.9996999502182007,0.4124454185366631,0.33832254409790036,-0.07412287443876275,8.45789909362793e-05,1,0.0321207145504921
BUS-BRA,ResNet50,Score-CAM,33,0,0.9996999502182007,0.9313578054308893,0.5148470431566239,-0.4165107622742654,-0.0002970099449157715,0,0.0
BUS-BRA,ResNet50,Grad-CAM,15,0,0.9946786165237427,0.06988466680049893,0.6899242341518402,0.6200395673513412,0.8899790644645691,1,0.2836559126836204
BUS-BRA,ResNet50,Integrated Gradients,15,0,0.9946786165237427,0.21491179913282388,0.3579611361026763,0.14304933696985245,0.9602221250534058,1,0.26104223598353776
BUS-BRA,ResNet50,SHAP,15,0,0.9946786165237427,0.18079623132944106,0.3201631024479865,0.13936687111854545,0.9690829515457153,1,0.19364316373546406
BUS-BRA,ResNet50,Score-CAM,15,0,0.9946786165237427,0.6994989514350892,0.763798889517784,0.06429993808269474,0.0010804533958435059,1,0.0
BUS-BRA,ResNet50,Grad-CAM,314,1,0.8988177180290222,0.7685847833752633,0.7550201664562337,-0.013564616919029548,0.13249486684799194,1,0.2349934125500284
BUS-BRA,ResNet50,Integrated Gradients,314,1,0.8988177180290222,0.9966409921646118,0.9925345450639725,-0.004106447100639232,-0.10117214918136597,0,0.1995326266950331
BUS-BRA,ResNet50,SHAP,314,1,0.8988177180290222,0.9961481034755706,0.9930082738399506,-0.003139829635619984,-0.10118216276168823,0,0.3512991396036321
BUS-BRA,ResNet50,Score-CAM,314,1,0.8988177180290222,0.7676190588623285,0.7248727283906192,-0.04274633047170928,-0.10103148221969604,0,0.2447487965229668
BUS-BRA,ResNet50,Grad-CAM,57,0,0.9999973177909851,0.7798519536852837,0.903274630010128,0.12342267632484427,3.5881996154785156e-05,1,0.029439303382411325
BUS-BRA,ResNet50,Integrated Gradients,57,0,0.9999973177909851,0.31502349525690077,0.41837381124496453,0.10335031598806377,0.04618722200393677,1,0.01975479592801741
BUS-BRA,ResNet50,SHAP,57,0,0.9999973177909851,0.29634953588247304,0.39765378236770627,0.10130424648523323,0.020418107509613037,1,0.028999825637415252
BUS-BRA,ResNet50,Score-CAM,57,0,0.9999973177909851,0.8412091225385667,0.6902918905019759,-0.1509172320365908,-2.1457672119140625e-06,0,0.0007144105128342005
