modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
FETAL,DenseNet121,Grad-CAM,2595,2,0.999327540397644,0.38110554299564686,0.5273840770477364,0.14627853405208951,0.00874626636505127,1,
FETAL,DenseNet121,Integrated Gradients,2595,2,0.999327540397644,0.06718130767585535,0.7421470471759676,0.6749657395001122,0.8595500290393829,1,
FETAL,DenseNet121,SHAP,2595,2,0.999327540397644,0.3666619867581176,0.49828052909933834,0.13161854234122072,0.15071558952331543,1,
FETAL,DenseNet121,Score-CAM,2595,2,0.999327540397644,0.4143143575231079,0.6075344595170463,0.1932201019939384,0.002079308032989502,1,
FETAL,DenseNet121,Grad-CAM,802,0,0.6562749147415161,0.060501479846425364,0.35362516872119154,0.2931236888747662,0.6560886707884492,1,
FETAL,DenseNet121,Integrated Gradients,802,0,0.6562749147415161,0.023182303511021015,0.08294646428403207,0.059764160773011055,0.6546175706898794,1,
FETAL,DenseNet121,SHAP,802,0,0.6562749147415161,0.06312602148391305,0.085478959424654,0.022352937940740947,0.6055712215602398,1,
FETAL,DenseNet121,Score-CAM,802,0,0.6562749147415161,0.02433597832568921,0.173280124089797,0.1489441457641078,0.6557050446863286,1,
FETAL,DenseNet121,Grad-CAM,210,5,0.9999425411224365,0.9988056033849717,0.9898156315088272,-0.008989971876144476,0.00032317638397216797,1,
FETAL,DenseNet121,Integrated Gradients,210,5,0.9999425411224365,0.9990627884864807,0.9989546746015547,-0.0001081138849259311,1.5497207641601562e-06,1,
FETAL,DenseNet121,SHAP,210,5,0.9999425411224365,0.9983457237482072,0.9987049341201782,0.00035921037197106376,-3.6597251892089844e-05,0,
FETAL,DenseNet121,Score-CAM,210,5,0.9999425411224365,0.9982954680919647,0.9977783054113386,-0.000517162680626071,-4.696846008300781e-05,0,
FETAL,DenseNet121,Grad-CAM,1762,2,0.9030325412750244,0.07766540451266338,0.36751541382109276,0.2898500093084294,0.8908826960250735,1,
FETAL,DenseNet121,Integrated Gradients,1762,2,0.9030325412750244,0.06854548145711305,0.5540770562423859,0.48553157478527287,0.847357414662838,1,
FETAL,DenseNet121,SHAP,1762,2,0.9030325412750244,0.0820752113868366,0.40793107276076623,0.32585586137392963,0.8576782196760178,1,
FETAL,DenseNet121,Score-CAM,1762,2,0.9030325412750244,0.18450395388063046,0.16379449896339787,-0.020709454917232584,0.5606217980384827,1,
FETAL,DenseNet121,Grad-CAM,1499,2,0.9355409145355225,0.3889706257847138,0.7022383565083146,0.31326773072360076,0.13970202207565308,1,
FETAL,DenseNet121,Integrated Gradients,1499,2,0.9355409145355225,0.09028048714762917,0.508686167032647,0.41840567988501787,0.892245028167963,1,
FETAL,DenseNet121,SHAP,1499,2,0.9355409145355225,0.10281837286247537,0.3725878985864938,0.26976952572401847,0.9053266327828169,1,
FETAL,DenseNet121,Score-CAM,1499,2,0.9355409145355225,0.4387265302240848,0.3251365091186017,-0.11359002110548311,0.055972158908843994,1,
FETAL,DenseNet121,Grad-CAM,1560,1,0.9996055960655212,0.19023741875425917,0.5123490788042545,0.32211166004999536,0.7708674669265747,1,
FETAL,DenseNet121,Integrated Gradients,1560,1,0.9996055960655212,0.0721479402614932,0.8063524456461891,0.734204505384696,0.48713213205337524,1,
FETAL,DenseNet121,SHAP,1560,1,0.9996055960655212,0.4233340025879443,0.6685665087425151,0.24523250615457082,0.33935999870300293,1,
FETAL,DenseNet121,Score-CAM,1560,1,0.9996055960655212,0.11382265988722794,0.47035214884672305,0.3565294889594951,0.9974494613707066,1,
FETAL,DenseNet121,Grad-CAM,1463,2,0.9891008734703064,0.39546749794390057,0.4237943813204765,0.028326883376575906,0.562057763338089,1,
FETAL,DenseNet121,Integrated Gradients,1463,2,0.9891008734703064,0.035486746614014915,0.5825108149263543,0.5470240683123393,0.9684564135968685,1,
FETAL,DenseNet121,SHAP,1463,2,0.9891008734703064,0.031140238093439618,0.3987022240160058,0.36756198592256617,0.9855252509005368,1,
FETAL,DenseNet121,Score-CAM,1463,2,0.9891008734703064,0.720561090571573,0.34846734178718175,-0.3720937487843913,-0.0038031339645385742,0,
FETAL,DenseNet121,Grad-CAM,211,5,0.9999724626541138,0.9965828895568847,0.9932331264019012,-0.003349763154983476,0.00048804283142089844,1,
FETAL,DenseNet121,Integrated Gradients,211,5,0.9999724626541138,0.998732203245163,0.9989867269992828,0.00025452375411982864,3.0994415283203125e-06,1,
FETAL,DenseNet121,SHAP,211,5,0.9999724626541138,0.9932409554719925,0.9989324659109116,0.005691510438919023,6.759166717529297e-05,1,
FETAL,DenseNet121,Score-CAM,211,5,0.9999724626541138,0.9926162928342819,0.9955038964748383,0.002887603640556402,0.0006868243217468262,1,
FETAL,DenseNet121,Grad-CAM,1739,1,0.9977649450302124,0.13779717000943492,0.10865493448218326,-0.02914223552725166,0.9958483586087823,1,
FETAL,DenseNet121,Integrated Gradients,1739,1,0.9977649450302124,0.02663867887254714,0.58958234495949,0.5629436660869429,0.9967143526300788,1,
