modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
FETAL,EfficientNetB4,Grad-CAM,2595,2,0.9995214939117432,0.26553789807949213,0.6804791038972327,0.4149412058177405,0.33084213733673096,1,
FETAL,EfficientNetB4,Integrated Gradients,2595,2,0.9995214939117432,0.3632996850428754,0.840359890414402,0.47706020537152655,0.0010456442832946777,1,
FETAL,EfficientNetB4,SHAP,2595,2,0.9995214939117432,0.4197408983403876,0.7285230758716353,0.30878217753124776,0.0005028247833251953,1,
FETAL,EfficientNetB4,Score-CAM,2595,2,0.9995214939117432,0.345304965460673,0.7694563411409036,0.42415137568023054,0.119351327419281,1,
FETAL,EfficientNetB4,Grad-CAM,802,5,0.768707275390625,0.31163041889667514,0.8849750146269797,0.5733445957303045,0.08508908748626709,1,
FETAL,EfficientNetB4,Integrated Gradients,802,5,0.768707275390625,0.48756104856729504,0.7391823530197144,0.2516213044524193,0.7343557290732861,1,
FETAL,EfficientNetB4,SHAP,802,5,0.768707275390625,0.7035968072712422,0.9562216848134993,0.25262487754225715,0.41608211398124695,1,
FETAL,EfficientNetB4,Score-CAM,802,5,0.768707275390625,0.6614747744053603,0.9042332574725152,0.24275848306715486,-0.2176806926727295,0,
FETAL,EfficientNetB4,Grad-CAM,210,5,0.9999858140945435,0.9989673435688019,0.9996871173381805,0.0007197737693785955,5.805492401123047e-05,1,
FETAL,EfficientNetB4,Integrated Gradients,210,5,0.9999858140945435,0.9996602654457092,0.9986795872449875,-0.0009806782007216741,-2.9802322387695312e-06,0,
FETAL,EfficientNetB4,SHAP,210,5,0.9999858140945435,0.9997181862592697,0.998950159549713,-0.0007680267095566684,-8.106231689453125e-06,0,
FETAL,EfficientNetB4,Score-CAM,210,5,0.9999858140945435,0.9989528298377991,0.9982828676700591,-0.000669962167739957,0.0018382072448730469,1,
FETAL,EfficientNetB4,Grad-CAM,1762,2,0.5940642356872559,0.1268827058374882,0.6121422673691996,0.48525956153171146,0.5515497140586376,1,
FETAL,EfficientNetB4,Integrated Gradients,1762,2,0.5940642356872559,0.13946128471288835,0.2019834019709378,0.06252211725804946,0.48575545847415924,1,
FETAL,EfficientNetB4,SHAP,1762,2,0.5940642356872559,0.19195341163795093,0.46058948793215676,0.26863607629420583,0.054028451442718506,1,
FETAL,EfficientNetB4,Score-CAM,1762,2,0.5940642356872559,0.18452275603194723,0.6058622188749723,0.42133946284302504,0.09371405839920044,1,
FETAL,EfficientNetB4,Grad-CAM,1499,2,0.8937515616416931,0.242861222083684,0.5929623866686596,0.35010116458497564,-0.009949743747711182,0,
FETAL,EfficientNetB4,Integrated Gradients,1499,2,0.8937515616416931,0.3497755105549004,0.7379364089109005,0.3881608983560001,0.027639567852020264,1,
FETAL,EfficientNetB4,SHAP,1499,2,0.8937515616416931,0.2774221296480391,0.7745037932298147,0.4970816635817756,0.07004529237747192,1,
FETAL,EfficientNetB4,Score-CAM,1499,2,0.8937515616416931,0.19776020371755293,0.5198958476539701,0.3221356439364172,0.03967487812042236,1,
FETAL,EfficientNetB4,Grad-CAM,1560,1,0.9999592304229736,0.5887819355586544,0.4977497764615691,-0.09103215909708534,0.028219878673553467,1,
FETAL,EfficientNetB4,Integrated Gradients,1560,1,0.9999592304229736,0.22319335021056758,0.9731847018003463,0.7499913515897787,0.3145182728767395,1,
FETAL,EfficientNetB4,SHAP,1560,1,0.9999592304229736,0.6148234190342918,0.8266919899499046,0.21186857091561273,0.009493827819824219,1,
FETAL,EfficientNetB4,Score-CAM,1560,1,0.9999592304229736,0.23645246872911227,0.432445689576707,0.1959932208475947,0.24803823232650757,1,
FETAL,EfficientNetB4,Grad-CAM,1463,2,0.9999963045120239,0.2711821383330971,0.6399205568057369,0.3687384184726398,0.1418183445930481,1,
FETAL,EfficientNetB4,Integrated Gradients,1463,2,0.9999963045120239,0.1050371424329569,0.8113403232768178,0.7063031808438609,0.9461593441665173,1,
FETAL,EfficientNetB4,SHAP,1463,2,0.9999963045120239,0.32294573468097953,0.5438746322695807,0.22092889758860113,0.2734166383743286,1,
FETAL,EfficientNetB4,Score-CAM,1463,2,0.9999963045120239,0.2933589887921699,0.8385026331525297,0.5451436443603599,0.15258032083511353,1,
FETAL,EfficientNetB4,Grad-CAM,211,5,0.9999971389770508,0.9909678280353547,0.9999436736106873,0.008975845575332597,-1.1920928955078125e-07,0,
FETAL,EfficientNetB4,Integrated Gradients,211,5,0.9999971389770508,0.9997204571962357,0.9999394297599793,0.0002189725637435913,-1.9073486328125e-06,0,
FETAL,EfficientNetB4,SHAP,211,5,0.9999971389770508,0.9997711300849914,0.9999036967754364,0.0001325666904450351,-1.5497207641601562e-06,0,
FETAL,EfficientNetB4,Score-CAM,211,5,0.9999971389770508,0.997241148352623,0.9999374121427538,0.0026962637901307707,1.1920928955078125e-07,1,
FETAL,EfficientNetB4,Grad-CAM,1739,1,0.9998669624328613,0.16145754467870577,0.6214412183864625,0.4599836737077567,0.9068390652537346,1,
FETAL,EfficientNetB4,Integrated Gradients,1739,1,0.9998669624328613,0.10967088176821563,0.7348182027228176,0.625147320954602,0.9322285205125809,1,
FETAL,EfficientNetB4,SHAP,1739,1,0.9998669624328613,0.1884753754573467,0.6729650467110332,0.48448967125368647,0.4844227433204651,1,
FETAL,EfficientNetB4,Score-CAM,1739,1,0.9998669624328613,0.08122331460472196,0.5608072424074635,0.4795839278027415,0.9929814632050693,1,
FETAL,EfficientNetB4,Grad-CAM,175,5,0.9999673366546631,0.9355492800474167,0.987706732749939,0.05215745270252237,0.0018958449363708496,1,
FETAL,EfficientNetB4,Integrated Gradients,175,5,0.9999673366546631,0.9858313858509065,0.988864415884018,0.0030330300331115057,-2.2292137145996094e-05,0,
FETAL,EfficientNetB4,SHAP,175,5,0.9999673366546631,0.9883862674236297,0.9891477763652802,0.0007615089416505016,-3.123283386230469e-05,0,
FETAL,EfficientNetB4,Score-CAM,175,5,0.9999673366546631,0.949929541349411,0.9843817800283433,0.03445223867893232,0.00011205673217773438,1,
FETAL,EfficientNetB4,Grad-CAM,940,3,0.9650880694389343,0.16369495008839294,0.5602800904540345,0.3965851403656415,0.961712455842644,1,
FETAL,EfficientNetB4,Integrated Gradients,940,3,0.9650880694389343,0.3765938791228109,0.5246057227981509,0.14801184367533998,0.028488755226135254,1,
FETAL,EfficientNetB4,SHAP,940,3,0.9650880694389343,0.31429264361213427,0.5160647094075101,0.20177206579537588,0.11954861879348755,1,
FETAL,EfficientNetB4,Score-CAM,940,3,0.9650880694389343,0.35437923534773286,0.3466556824569125,-0.007723552890820384,0.004768669605255127,1,
FETAL,EfficientNetB4,Grad-CAM,1455,2,0.9862865805625916,0.21601792528526859,0.31549758018227286,0.09947965489700428,0.35780012607574463,1,
FETAL,EfficientNetB4,Integrated Gradients,1455,2,0.9862865805625916,0.4594812575145625,0.6273892478959169,0.1679079903813544,0.098441481590271,1,
FETAL,EfficientNetB4,SHAP,1455,2,0.9862865805625916,0.3828462040626619,0.48633966775960286,0.10349346369694096,0.001786649227142334,1,
FETAL,EfficientNetB4,Score-CAM,1455,2,0.9862865805625916,0.3203632339602337,0.4837922134203836,0.1634289794601499,0.3848518133163452,1,
FETAL,EfficientNetB4,Grad-CAM,649,5,0.9514639973640442,0.7309606812894345,0.9102814480662346,0.1793207667768001,0.3251795172691345,1,
FETAL,EfficientNetB4,Integrated Gradients,649,5,0.9514639973640442,0.8631350368261339,0.9293527275323868,0.06621769070625294,-0.040292203426361084,0,
FETAL,EfficientNetB4,SHAP,649,5,0.9514639973640442,0.8268759012222292,0.9152522832155228,0.08837638199329356,-0.012071549892425537,0,
FETAL,EfficientNetB4,Score-CAM,649,5,0.9514639973640442,0.8933977812528611,0.817014802992344,-0.0763829782605171,-0.0069179534912109375,0,
FETAL,EfficientNetB4,Grad-CAM,655,5,0.9628254175186157,0.4866057408973575,0.8446992337703705,0.358093492873013,0.07388877868652344,1,
FETAL,EfficientNetB4,Integrated Gradients,655,5,0.9628254175186157,0.888202005624771,0.7971587598323822,-0.09104324579238887,-0.03518879413604736,0,
FETAL,EfficientNetB4,SHAP,655,5,0.9628254175186157,0.8869369119405747,0.8465015321969985,-0.04043537974357614,0.020248353481292725,1,
FETAL,EfficientNetB4,Score-CAM,655,5,0.9628254175186157,0.6018085182644427,0.8669933915138245,0.2651848732493818,-0.019524574279785156,0,
FETAL,EfficientNetB4,Grad-CAM,1448,3,0.9989302754402161,0.18786628083325924,0.7000223562121392,0.5121560753788799,0.7610944658517838,1,
FETAL,EfficientNetB4,Integrated Gradients,1448,3,0.9989302754402161,0.36850124520424293,0.7031549633014947,0.3346537180972518,0.11327338218688965,1,
FETAL,EfficientNetB4,SHAP,1448,3,0.9989302754402161,0.47478916636900975,0.520134270251583,0.045345103882573234,0.0006957650184631348,1,
FETAL,EfficientNetB4,Score-CAM,1448,3,0.9989302754402161,0.1844061904470436,0.5423719781378168,0.3579657876907732,0.9757119696587324,1,
FETAL,EfficientNetB4,Grad-CAM,1178,4,0.9999964237213135,0.6050926439464093,0.9540109783411025,0.3489183343946932,0.0006654262542724609,1,
FETAL,EfficientNetB4,Integrated Gradients,1178,4,0.9999964237213135,0.8427468657493592,0.951629251241684,0.10888238549232476,0.0007924437522888184,1,
FETAL,EfficientNetB4,SHAP,1178,4,0.9999964237213135,0.5125775288790464,0.7910520495846868,0.2784745207056404,0.04453164339065552,1,
FETAL,EfficientNetB4,Score-CAM,1178,4,0.9999964237213135,0.5169501669704915,0.9701423704624176,0.4531922034919261,0.6549409627914429,1,
FETAL,EfficientNetB4,Grad-CAM,772,3,0.9732993245124817,0.25603815868962554,0.7451237814500926,0.4890856227604671,0.9536348525434732,1,
FETAL,EfficientNetB4,Integrated Gradients,772,3,0.9732993245124817,0.42884996235370637,0.7383771039545537,0.3095271416008473,0.7441776543855667,1,
FETAL,EfficientNetB4,SHAP,772,3,0.9732993245124817,0.5848681692266836,0.6836831238411832,0.09881495461449963,0.0118180513381958,1,
FETAL,EfficientNetB4,Score-CAM,772,3,0.9732993245124817,0.33745888266712426,0.5930215984582901,0.2555627157911658,0.9722498921910301,1,
FETAL,EfficientNetB4,Grad-CAM,2610,2,0.9938499331474304,0.10507032874156721,0.8520208709407598,0.7469505421991927,0.9621364064514637,1,
FETAL,EfficientNetB4,Integrated Gradients,2610,2,0.9938499331474304,0.07521230602515061,0.9570639416575433,0.8818516356323927,0.9864335670135915,1,
FETAL,EfficientNetB4,SHAP,2610,2,0.9938499331474304,0.21166254023410147,0.7140911300666629,0.5024285898325614,0.6934956908226013,1,
FETAL,EfficientNetB4,Score-CAM,2610,2,0.9938499331474304,0.09447907850844786,0.8303384932689368,0.735859414760489,0.9444593414664268,1,
FETAL,EfficientNetB4,Grad-CAM,1755,1,0.9999970197677612,0.12373496770160272,0.6578833519015461,0.5341483841999434,0.9403534568846226,1,
FETAL,EfficientNetB4,Integrated Gradients,1755,1,0.9999970197677612,0.3310116369975731,0.9456981524825097,0.6146865154849366,0.2604246139526367,1,
FETAL,EfficientNetB4,SHAP,1755,1,0.9999970197677612,0.4237917036662111,0.9305902838706969,0.5067985802044858,0.0033167600631713867,1,
FETAL,EfficientNetB4,Score-CAM,1755,1,0.9999970197677612,0.1996281540254131,0.7500818823813461,0.550453728355933,0.9987115861149505,1,
FETAL,EfficientNetB4,Grad-CAM,2151,2,0.7209339737892151,0.16038419821707067,0.2568120932808597,0.09642789506378902,0.5940861403942108,1,
FETAL,EfficientNetB4,Integrated Gradients,2151,2,0.7209339737892151,0.062185306228639096,0.664462870452553,0.602277564223914,0.7110292837023735,1,
FETAL,EfficientNetB4,SHAP,2151,2,0.7209339737892151,0.1481119802381727,0.5261282718740404,0.3780162916358677,0.48632682859897614,1,
FETAL,EfficientNetB4,Score-CAM,2151,2,0.7209339737892151,0.03695976862290991,0.5111748428083956,0.47421507418548575,0.7195951928151771,1,
FETAL,EfficientNetB4,Grad-CAM,56,5,0.9999986886978149,0.9870217382907868,0.9934470325708389,0.0064252942800521184,0.0016748309135437012,1,
