modality,backbone,method,img_index,pred_class,conf0,AUC_del,AUC_ins,F,delta_faith,DA_hit,rho
FETAL,MobileNetV2,Grad-CAM,2595,2,0.9988872408866882,0.24946415591984994,0.7820141598582268,0.5325500039383768,0.3621889352798462,1,
FETAL,MobileNetV2,Integrated Gradients,2595,2,0.9988872408866882,0.02983538990956731,0.7954282620397862,0.7655928721302189,0.9973894268041477,1,
FETAL,MobileNetV2,SHAP,2595,2,0.9988872408866882,0.0584900954272598,0.6576244255527854,0.5991343301255256,0.9879731349647045,1,
FETAL,MobileNetV2,Score-CAM,2595,2,0.9988872408866882,0.21088573163724506,0.828763110563159,0.617877378925914,0.8463703542947769,1,
FETAL,MobileNetV2,Grad-CAM,802,5,0.8248500823974609,0.9569426655769349,0.9278126478195191,-0.02913001775741575,-0.1713399887084961,0,
FETAL,MobileNetV2,Integrated Gradients,802,5,0.8248500823974609,0.9254567742347717,0.966630172729492,0.04117339849472035,0.15624970197677612,1,
FETAL,MobileNetV2,SHAP,802,5,0.8248500823974609,0.9706144690513612,0.941453030705452,-0.02916143834590912,-0.1447542905807495,0,
FETAL,MobileNetV2,Score-CAM,802,5,0.8248500823974609,0.8162252724170684,0.984365740418434,0.16814046800136562,0.1154518723487854,1,
FETAL,MobileNetV2,Grad-CAM,210,5,0.9999967813491821,0.9775355458259583,0.9882006973028181,0.010665151476859869,-1.430511474609375e-06,0,
FETAL,MobileNetV2,Integrated Gradients,210,5,0.9999967813491821,0.9884510397911072,0.9888644695281982,0.00041342973709102004,1.430511474609375e-06,1,
FETAL,MobileNetV2,SHAP,210,5,0.9999967813491821,0.9725167155265808,0.9885660916566851,0.016049376130104265,-3.0994415283203125e-06,0,
FETAL,MobileNetV2,Score-CAM,210,5,0.9999967813491821,0.983482986688614,0.977439957857132,-0.006043028831482,-1.9073486328125e-06,0,
FETAL,MobileNetV2,Grad-CAM,1762,2,0.9741268754005432,0.10115753412537742,0.4848926594480871,0.3837351253227097,0.9338060989975929,1,
FETAL,MobileNetV2,Integrated Gradients,1762,2,0.9741268754005432,0.07319824692643806,0.384311256132787,0.31111300920634893,0.8098505288362503,1,
FETAL,MobileNetV2,SHAP,1762,2,0.9741268754005432,0.11774306698025612,0.5084482308695442,0.39070516388928805,0.7322182655334473,1,
